complaint_id,category,department,priority,district,urban,submission_date,day_of_week,officer_experience,workload_at_submission,complaint_length,resubmission,sla_threshold_days,resolution_days,sla_violated,escalated,status,risk_score
KL2022-00033,Public Works,PWD,Critical,Kollam,1,2024-11-18,0,8,40,735,0,2,1,0,0,Resolved,65
KL2022-00034,Water Supply,Kerala Water Authority,Critical,Alappuzha,0,2022-09-28,2,19,78,534,1,2,5,1,0,Resolved,54
KL2022-00035,Water Supply,Kerala Water Authority,Medium,Kannur,0,2024-04-13,5,7,17,149,0,10,9,0,0,Resolved,28
KL2022-00036,Social Security,Social Welfare,Medium,Idukki,0,2024-05-17,4,14,64,796,0,10,10,0,0,Resolved,44
KL2022-00037,Housing,Housing Board,Critical,Kozhikode,0,2022-07-21,3,2,56,795,0,2,4,1,0,Resolved,74
KL2022-00038,Education,Education Department,Low,Alappuzha,1,2023-01-28,5,7,73,509,0,15,22,1,0,Resolved,52
KL2022-00039,Healthcare,Health Department,Low,Kottayam,0,2024-08-05,0,8,14,503,0,15,14,0,0,Resolved,24
KL2022-00040,Education,Education Department,Medium,Thiruvananthapuram,1,2022-01-31,0,3,35,220,0,10,15,1,1,Closed,43
KL2022-00041,Water Supply,Kerala Water Authority,Medium,Alappuzha,0,2024-04-01,0,2,26,438,0,10,14,1,0,Resolved,37
KL2022-00042,Social Security,Social Welfare,Low,Kottayam,0,2024-07-20,5,10,59,763,0,15,22,1,1,Closed,47
KL2022-00043,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,1,2023-01-24,1,10,32,109,0,10,10,0,0,Resolved,30
KL2022-00044,Housing,Housing Board,Low,Wayanad,0,2023-10-05,3,2,11,648,0,15,21,1,1,Closed,50
KL2022-00045,Healthcare,Health Department,Critical,Thiruvananthapuram,0,2024-11-06,2,3,28,120,1,2,5,1,1,Closed,53
KL2022-00046,Sanitation,Municipality,Medium,Ernakulam,0,2022-09-03,5,19,36,642,0,10,8,0,0,Resolved,20
KL2022-00047,Housing,Housing Board,Low,Malappuram,1,2022-06-17,4,14,79,628,1,15,23,1,1,Closed,70
KL2022-00048,Revenue,Revenue Department,Medium,Alappuzha,1,2023-10-06,4,8,38,455,0,10,15,1,0,Resolved,45
KL2022-00049,Revenue,Revenue Department,High,Thrissur,1,2023-10-10,1,3,6,519,0,5,6,1,1,Closed,42
KL2022-00050,Education,Education Department,Low,Kollam,1,2023-03-13,0,17,38,185,0,15,13,0,0,Resolved,27
KL2022-00051,Public Works,PWD,Low,Kollam,1,2023-05-16,1,12,41,211,0,15,24,1,1,Closed,52
KL2022-00052,Revenue,Revenue Department,Low,Malappuram,0,2024-12-19,3,1,75,356,0,15,33,1,1,Escalated,68
KL2022-00053,Education,Education Department,Medium,Pathanamthitta,1,2023-06-26,0,4,18,616,0,10,11,1,0,Resolved,35
KL2022-00054,Revenue,Revenue Department,Medium,Malappuram,0,2023-03-08,2,11,31,753,0,10,13,1,1,Closed,39
KL2022-00055,Revenue,Revenue Department,Low,Palakkad,1,2024-09-27,4,9,11,144,0,15,17,1,1,Closed,34
KL2022-00056,Revenue,Revenue Department,Medium,Thiruvananthapuram,1,2022-01-08,5,11,21,702,0,10,11,1,1,Closed,35
KL2022-00057,Healthcare,Health Department,Medium,Wayanad,0,2024-06-23,6,18,59,624,0,10,6,0,0,Resolved,28
KL2022-00058,Housing,Housing Board,Low,Kollam,0,2022-06-04,5,5,74,86,0,15,34,1,1,Closed,69
KL2022-00059,Healthcare,Health Department,Critical,Ernakulam,1,2022-09-19,0,2,44,423,1,2,3,1,1,Closed,60
KL2022-00060,Housing,Housing Board,Critical,Idukki,1,2023-03-07,1,8,18,412,1,2,5,1,1,Closed,63
KL2022-00061,Social Security,Social Welfare,Low,Malappuram,1,2022-11-13,6,8,25,231,0,15,15,0,0,Resolved,37
KL2022-00062,Social Security,Social Welfare,Medium,Thiruvananthapuram,1,2023-01-03,1,11,57,735,1,10,12,1,1,Closed,55
KL2022-00063,Sanitation,Municipality,Medium,Kottayam,1,2022-11-23,2,4,53,89,0,10,14,1,1,Closed,45
KL2022-00064,Sanitation,Municipality,High,Alappuzha,1,2024-07-31,2,12,44,283,0,5,4,0,0,Resolved,35
KL2022-00065,Sanitation,Municipality,Medium,Thiruvananthapuram,1,2023-01-31,1,13,47,335,0,10,9,0,0,Resolved,31
KL2022-00066,Education,Education Department,Critical,Kannur,1,2023-07-26,2,12,70,459,0,2,2,0,0,Resolved,53
KL2022-00067,Public Works,PWD,High,Thiruvananthapuram,1,2022-08-25,3,9,27,644,0,5,7,1,1,Closed,53
KL2022-00068,Revenue,Revenue Department,Medium,Thiruvananthapuram,0,2022-08-11,3,20,60,403,0,10,9,0,0,Resolved,38
KL2022-00069,Public Works,PWD,Medium,Ernakulam,1,2024-11-13,2,4,54,640,0,10,17,1,0,Resolved,67
KL2022-00070,Housing,Housing Board,Medium,Wayanad,0,2024-06-12,2,1,71,601,0,10,24,1,1,Closed,73
KL2022-00071,Sanitation,Municipality,High,Idukki,0,2024-06-02,6,3,47,688,0,5,10,1,0,Resolved,47
KL2022-00072,Education,Education Department,Low,Wayanad,0,2023-09-08,4,17,44,732,0,15,12,0,0,Resolved,29
KL2022-00073,Social Security,Social Welfare,Low,Idukki,1,2024-04-04,3,10,75,180,0,15,24,1,0,Resolved,53
KL2022-00074,Social Security,Social Welfare,Critical,Kozhikode,0,2022-12-23,4,20,77,358,0,2,3,1,1,Closed,49
KL2022-00075,Housing,Housing Board,High,Kottayam,0,2023-08-11,4,7,60,643,0,5,7,1,1,Closed,65
KL2022-00076,Public Works,PWD,Low,Thrissur,0,2024-06-23,6,15,32,573,0,15,22,1,1,Closed,45
KL2022-00077,Healthcare,Health Department,Medium,Kozhikode,1,2022-06-23,3,10,70,729,0,10,11,1,1,Closed,42
KL2022-00078,Public Works,PWD,Medium,Kollam,0,2023-04-27,3,10,33,253,0,10,18,1,0,Resolved,51
KL2022-00079,Housing,Housing Board,Medium,Alappuzha,0,2024-08-31,5,20,14,516,0,10,8,0,0,Resolved,28
KL2022-00080,Social Security,Social Welfare,Low,Kozhikode,1,2023-02-03,4,13,68,459,0,15,22,1,0,Resolved,46
KL2022-00081,Housing,Housing Board,Low,Kannur,0,2022-08-07,6,14,33,230,0,15,22,1,1,Closed,43
KL2022-00082,Water Supply,Kerala Water Authority,Low,Thiruvananthapuram,1,2023-05-26,4,4,63,186,0,15,22,1,1,Closed,49
KL2022-00083,Public Works,PWD,Medium,Kannur,1,2024-06-25,1,20,69,486,1,10,13,1,1,Closed,62
KL2022-00084,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,1,2024-08-30,4,15,38,303,1,10,9,0,0,Resolved,36
KL2022-00085,Revenue,Revenue Department,Medium,Kannur,1,2024-12-03,1,16,35,331,0,10,11,1,1,Closed,34
KL2022-00086,Revenue,Revenue Department,Medium,Alappuzha,1,2023-07-11,1,11,45,603,1,10,14,1,0,Resolved,54
KL2022-00087,Healthcare,Health Department,Low,Alappuzha,0,2024-02-24,5,5,32,115,0,15,14,0,0,Resolved,34
KL2022-00088,Social Security,Social Welfare,Medium,Ernakulam,0,2023-11-09,3,18,64,475,1,10,11,1,0,Resolved,49
KL2022-00089,Social Security,Social Welfare,High,Ernakulam,0,2022-02-10,3,19,53,538,0,5,6,1,0,Resolved,36
KL2022-00090,Public Works,PWD,High,Kottayam,1,2024-03-09,5,14,73,609,0,5,12,1,1,Closed,64
KL2022-00091,Sanitation,Municipality,Low,Thrissur,1,2023-03-26,6,9,60,547,0,15,14,0,0,Resolved,41
KL2022-00092,Housing,Housing Board,High,Ernakulam,1,2023-11-20,0,13,26,528,0,5,3,0,0,Resolved,44
KL2022-00093,Healthcare,Health Department,High,Malappuram,1,2024-12-29,6,1,55,656,0,5,6,1,1,Escalated,51
KL2022-00094,Housing,Housing Board,Critical,Kollam,1,2024-05-27,0,5,64,236,0,2,4,1,0,Resolved,74
KL2022-00095,Social Security,Social Welfare,Medium,Idukki,0,2023-03-10,4,15,46,395,1,10,10,0,0,Resolved,46
KL2022-00096,Social Security,Social Welfare,Critical,Kottayam,1,2024-05-13,0,9,15,531,1,2,2,0,0,Resolved,50
KL2022-00097,Housing,Housing Board,Medium,Wayanad,0,2022-04-17,6,12,33,715,0,10,16,1,0,Resolved,45
KL2022-00098,Housing,Housing Board,High,Kannur,1,2022-03-05,5,8,30,70,0,5,5,0,0,Resolved,52
KL2022-00099,Healthcare,Health Department,Low,Alappuzha,0,2022-09-16,4,16,19,627,0,15,4,0,0,Resolved,15
KL2022-00100,Sanitation,Municipality,High,Thrissur,0,2023-06-09,4,12,26,670,0,5,7,1,1,Closed,28
KL2022-00101,Education,Education Department,Low,Kannur,1,2022-12-02,4,10,18,642,0,15,12,0,0,Resolved,28
KL2022-00102,Housing,Housing Board,High,Kottayam,0,2024-02-08,3,13,30,127,0,5,6,1,1,Closed,46
KL2022-00103,Sanitation,Municipality,Low,Kollam,0,2023-09-10,6,20,20,629,1,15,12,0,0,Resolved,23
KL2022-00104,Housing,Housing Board,Critical,Idukki,1,2024-12-27,4,14,52,120,1,2,3,1,1,Closed,68
KL2022-00105,Public Works,PWD,Medium,Thiruvananthapuram,1,2024-05-10,4,16,18,493,0,10,6,0,0,Resolved,38
KL2022-00106,Public Works,PWD,Critical,Kozhikode,1,2024-07-30,1,5,60,230,0,2,7,1,1,Closed,76
KL2022-00107,Revenue,Revenue Department,Low,Malappuram,0,2024-09-17,1,15,60,798,0,15,20,1,1,Closed,45
KL2022-00108,Public Works,PWD,Medium,Kasaragod,0,2023-05-18,3,3,40,511,1,10,22,1,0,Resolved,73
KL2022-00109,Water Supply,Kerala Water Authority,Low,Malappuram,0,2024-02-16,4,11,8,556,1,15,12,0,0,Resolved,29
KL2022-00110,Public Works,PWD,Critical,Pathanamthitta,1,2024-09-25,2,7,50,314,0,2,5,1,0,Resolved,70
KL2022-00111,Revenue,Revenue Department,Critical,Palakkad,1,2022-01-21,4,17,29,137,0,2,1,0,0,Resolved,38
KL2022-00112,Sanitation,Municipality,Medium,Wayanad,1,2024-04-12,4,16,76,296,0,10,13,1,1,Closed,39
KL2022-00113,Water Supply,Kerala Water Authority,Low,Thrissur,1,2022-02-05,5,3,42,276,0,15,18,1,1,Closed,42
KL2022-00114,Sanitation,Municipality,Medium,Kottayam,0,2024-01-26,4,16,75,593,0,10,11,1,0,Resolved,38
KL2022-00115,Public Works,PWD,Medium,Idukki,1,2024-07-18,3,9,44,307,0,10,12,1,0,Resolved,57
KL2022-00116,Sanitation,Municipality,High,Idukki,0,2022-09-02,4,18,28,246,0,5,3,0,0,Resolved,21
KL2022-00117,Sanitation,Municipality,Critical,Wayanad,1,2024-09-18,2,9,80,587,1,2,5,1,1,Closed,67
KL2022-00118,Education,Education Department,Medium,Kasaragod,1,2023-02-02,3,10,34,419,1,10,14,1,0,Resolved,44
KL2022-00119,Housing,Housing Board,Low,Wayanad,0,2024-12-29,6,5,40,96,0,15,27,1,1,Escalated,57
KL2022-00120,Revenue,Revenue Department,Medium,Wayanad,1,2022-09-16,4,16,18,62,1,10,7,0,0,Resolved,38
KL2022-00121,Revenue,Revenue Department,High,Thrissur,0,2024-09-07,5,15,48,238,0,5,6,1,1,Closed,43
KL2022-00122,Revenue,Revenue Department,High,Kasaragod,1,2024-09-05,3,4,13,460,1,5,7,1,1,Closed,54
KL2022-00123,Housing,Housing Board,Critical,Pathanamthitta,1,2022-11-02,2,19,43,137,0,2,1,0,0,Resolved,48
KL2022-00124,Sanitation,Municipality,Low,Kollam,1,2024-05-02,3,20,33,585,1,15,7,0,0,Resolved,27
KL2022-00125,Social Security,Social Welfare,Low,Thrissur,1,2024-06-25,1,10,80,489,0,15,20,1,0,Resolved,55
KL2022-00126,Housing,Housing Board,Medium,Malappuram,1,2022-07-23,5,7,32,320,0,10,15,1,1,Closed,51
KL2022-00127,Healthcare,Health Department,Medium,Alappuzha,1,2022-12-22,3,18,14,210,1,10,8,0,0,Resolved,21
KL2022-00128,Housing,Housing Board,Medium,Ernakulam,0,2024-07-11,3,20,65,348,0,10,11,1,0,Resolved,47
KL2022-00129,Revenue,Revenue Department,High,Wayanad,1,2023-08-03,3,15,14,753,0,5,3,0,0,Resolved,30
KL2022-00130,Sanitation,Municipality,Low,Kottayam,1,2023-02-10,4,14,19,607,0,15,9,0,0,Resolved,20
KL2022-00131,Sanitation,Municipality,Medium,Kozhikode,1,2022-11-02,2,9,23,123,0,10,8,0,0,Resolved,27
KL2022-00132,Housing,Housing Board,High,Pathanamthitta,1,2023-09-22,4,20,77,345,0,5,1,0,0,Resolved,55
KL2022-00133,Water Supply,Kerala Water Authority,High,Kollam,0,2024-08-17,5,10,56,328,1,5,7,1,1,Closed,52
KL2022-00134,Water Supply,Kerala Water Authority,Low,Thrissur,1,2022-06-14,1,20,10,492,0,15,9,0,0,Resolved,9
KL2022-00135,Public Works,PWD,Medium,Malappuram,1,2023-05-28,6,1,16,284,0,10,17,1,1,Closed,56
KL2022-00136,Housing,Housing Board,Low,Kannur,0,2023-07-06,3,19,10,229,0,15,11,0,0,Resolved,28
KL2022-00137,Water Supply,Kerala Water Authority,Low,Palakkad,0,2024-06-24,0,9,28,649,0,15,14,0,0,Resolved,29
KL2022-00138,Social Security,Social Welfare,Medium,Kozhikode,0,2024-10-04,4,3,65,406,0,10,16,1,1,Closed,58
KL2022-00139,Public Works,PWD,Low,Kozhikode,0,2022-08-03,2,6,47,471,0,15,26,1,1,Closed,62
KL2022-00140,Revenue,Revenue Department,Low,Kozhikode,1,2024-03-31,6,18,9,515,0,15,10,0,0,Resolved,22
KL2022-00141,Education,Education Department,Low,Idukki,1,2023-06-01,3,11,19,463,0,15,12,0,0,Resolved,27
KL2022-00142,Housing,Housing Board,High,Kozhikode,0,2024-08-04,6,14,11,242,0,5,6,1,1,Closed,38
KL2022-00143,Water Supply,Kerala Water Authority,High,Kozhikode,0,2024-06-24,0,2,31,323,1,5,8,1,1,Closed,52
KL2022-00144,Revenue,Revenue Department,High,Thrissur,0,2024-09-19,3,4,8,695,0,5,4,0,0,Resolved,42
KL2022-00145,Sanitation,Municipality,Medium,Wayanad,1,2022-11-21,0,10,75,64,0,10,10,0,0,Resolved,46
KL2022-00146,Social Security,Social Welfare,High,Kollam,0,2023-04-06,3,4,64,170,0,5,3,0,0,Resolved,59
KL2022-00147,Healthcare,Health Department,High,Thrissur,1,2023-08-21,0,17,39,475,1,5,2,0,0,Resolved,35
KL2022-00148,Water Supply,Kerala Water Authority,Medium,Thrissur,0,2023-05-15,0,15,75,198,0,10,10,0,0,Resolved,39
KL2022-00149,Social Security,Social Welfare,Low,Alappuzha,0,2024-11-06,2,5,13,332,0,15,14,0,0,Resolved,36
KL2022-00150,Social Security,Social Welfare,Medium,Idukki,1,2024-11-05,1,9,5,339,0,10,7,0,0,Resolved,28
KL2022-00151,Revenue,Revenue Department,Medium,Kasaragod,1,2024-09-29,6,5,62,601,0,10,16,1,1,Closed,58
KL2022-00152,Public Works,PWD,Medium,Palakkad,1,2024-02-12,0,15,46,243,0,10,13,1,1,Closed,50
KL2022-00153,Sanitation,Municipality,Medium,Malappuram,0,2024-02-24,5,8,57,94,0,10,15,1,0,Resolved,41
KL2022-00154,Water Supply,Kerala Water Authority,Medium,Wayanad,1,2024-02-20,1,13,24,557,0,10,4,0,0,Resolved,23
KL2022-00155,Housing,Housing Board,Medium,Pathanamthitta,0,2024-10-25,4,19,47,152,0,10,9,0,0,Resolved,42
KL2022-00156,Water Supply,Kerala Water Authority,Low,Kollam,0,2024-12-13,4,15,6,789,0,15,7,0,0,Resolved,14
KL2022-00157,Healthcare,Health Department,Low,Ernakulam,0,2022-11-13,6,3,65,321,1,15,16,1,0,Resolved,59
KL2022-00158,Social Security,Social Welfare,Critical,Kozhikode,0,2022-06-14,1,11,73,439,0,2,4,1,1,Closed,59
KL2022-00159,Water Supply,Kerala Water Authority,Critical,Kasaragod,1,2022-03-15,1,20,13,290,1,2,1,0,0,Resolved,28
KL2022-00160,Revenue,Revenue Department,Medium,Alappuzha,1,2022-07-05,1,14,17,698,1,10,9,0,0,Resolved,40
KL2022-00161,Education,Education Department,Medium,Thrissur,1,2022-12-07,2,10,8,97,0,10,6,0,0,Resolved,24
KL2022-00162,Public Works,PWD,Medium,Kannur,0,2022-04-25,0,10,50,433,0,10,14,1,1,Closed,58
KL2022-00163,Sanitation,Municipality,Low,Palakkad,0,2024-04-23,1,19,28,224,0,15,6,0,0,Resolved,17
KL2022-00164,Healthcare,Health Department,Medium,Kollam,0,2024-02-23,4,20,35,559,0,10,6,0,0,Resolved,16
KL2022-00165,Healthcare,Health Department,Medium,Alappuzha,0,2024-08-02,4,9,63,311,0,10,9,0,0,Resolved,41
KL2022-00166,Housing,Housing Board,Medium,Kannur,1,2024-08-10,5,10,74,211,0,10,20,1,0,Resolved,63
KL2022-00167,Public Works,PWD,Medium,Malappuram,0,2023-09-05,1,14,37,517,0,10,13,1,1,Closed,48
KL2022-00168,Sanitation,Municipality,Low,Ernakulam,1,2024-09-16,0,4,35,440,0,15,16,1,1,Closed,38
KL2022-00169,Revenue,Revenue Department,Medium,Wayanad,0,2023-08-28,0,1,55,331,1,10,18,1,0,Resolved,70
KL2022-00170,Housing,Housing Board,Low,Malappuram,1,2024-10-14,0,10,34,671,0,15,22,1,1,Closed,48
KL2022-00171,Sanitation,Municipality,Medium,Kozhikode,0,2023-01-25,2,20,37,744,0,10,5,0,0,Resolved,19
KL2022-00172,Healthcare,Health Department,High,Kozhikode,0,2022-07-18,0,2,44,501,0,5,7,1,0,Resolved,45
KL2022-00173,Public Works,PWD,Medium,Wayanad,1,2022-09-27,1,3,42,384,0,10,16,1,1,Closed,64
KL2022-00174,Healthcare,Health Department,High,Alappuzha,1,2022-09-28,2,18,51,593,0,5,3,0,0,Resolved,28
KL2022-00175,Revenue,Revenue Department,Critical,Kasaragod,0,2022-12-03,5,9,66,352,0,2,4,1,1,Closed,62
KL2022-00176,Public Works,PWD,Medium,Kannur,1,2022-08-24,2,15,14,194,0,10,11,1,1,Closed,38
KL2022-00177,Sanitation,Municipality,Medium,Kasaragod,1,2024-03-24,6,18,51,142,0,10,7,0,0,Resolved,27
KL2022-00178,Social Security,Social Welfare,Medium,Thiruvananthapuram,1,2023-06-26,0,18,20,515,0,10,8,0,0,Resolved,22
KL2022-00179,Public Works,PWD,Low,Kozhikode,1,2023-06-21,2,19,53,703,0,15,17,1,1,Closed,48
KL2022-00180,Education,Education Department,High,Kozhikode,1,2023-04-24,0,16,8,684,0,5,4,0,0,Resolved,20
KL2022-00181,Public Works,PWD,Low,Malappuram,1,2023-03-30,3,3,64,767,0,15,33,1,0,Resolved,72
KL2022-00182,Social Security,Social Welfare,High,Kollam,1,2022-10-14,4,2,9,361,0,5,4,0,0,Resolved,41
KL2022-00183,Water Supply,Kerala Water Authority,Medium,Kollam,0,2022-07-19,1,8,73,188,0,10,10,0,0,Resolved,47
KL2022-00184,Social Security,Social Welfare,Critical,Thrissur,0,2024-01-30,1,18,58,651,0,2,1,0,0,Resolved,44
KL2022-00185,Healthcare,Health Department,Medium,Ernakulam,0,2022-07-22,4,16,57,336,1,10,9,0,0,Resolved,40
KL2022-00186,Housing,Housing Board,Medium,Wayanad,1,2024-01-29,0,7,61,505,0,10,23,1,1,Closed,62
KL2022-00187,Public Works,PWD,Critical,Kollam,1,2024-01-23,1,18,50,112,0,2,2,0,0,Resolved,56
KL2022-00188,Social Security,Social Welfare,Low,Kottayam,1,2023-01-24,1,4,63,143,0,15,25,1,1,Closed,56
KL2022-00189,Housing,Housing Board,Medium,Thiruvananthapuram,1,2023-11-15,2,8,21,628,0,10,13,1,0,Resolved,46
KL2022-00190,Sanitation,Municipality,Low,Malappuram,1,2023-03-19,6,8,47,201,1,15,19,1,1,Closed,48
KL2022-00191,Housing,Housing Board,Low,Kottayam,1,2022-10-24,0,5,74,306,1,15,38,1,1,Closed,79
KL2022-00192,Education,Education Department,Medium,Kozhikode,0,2022-02-22,1,5,6,416,0,10,10,0,0,Resolved,30
KL2022-00193,Sanitation,Municipality,High,Malappuram,0,2023-10-26,3,1,27,321,0,5,7,1,0,Resolved,42
KL2022-00194,Social Security,Social Welfare,Critical,Palakkad,0,2022-08-21,6,3,65,509,0,2,1,0,0,Resolved,66
KL2022-00195,Public Works,PWD,High,Palakkad,0,2022-08-12,4,15,69,276,0,5,5,0,0,Resolved,62
KL2022-00196,Housing,Housing Board,Low,Wayanad,0,2024-12-03,1,10,63,708,0,15,25,1,1,Closed,59
KL2022-00197,Housing,Housing Board,Critical,Thrissur,1,2024-04-02,1,14,18,552,0,2,1,0,0,Resolved,45
KL2022-00198,Water Supply,Kerala Water Authority,Critical,Kollam,0,2022-06-15,2,11,23,117,0,2,2,0,0,Resolved,33
KL2022-00199,Healthcare,Health Department,Low,Kottayam,1,2023-10-28,5,13,72,351,1,15,15,0,0,Resolved,49
KL2022-00200,Water Supply,Kerala Water Authority,High,Palakkad,1,2024-05-31,4,4,19,720,0,5,5,0,0,Resolved,35
KL2022-00201,Sanitation,Municipality,Low,Ernakulam,0,2024-07-13,5,8,57,397,0,15,23,1,1,Closed,41
KL2022-00202,Social Security,Social Welfare,Low,Ernakulam,1,2022-07-14,3,11,59,370,0,15,16,1,1,Closed,46
KL2022-00203,Public Works,PWD,Medium,Pathanamthitta,0,2024-08-29,3,3,16,137,0,10,13,1,0,Resolved,54
KL2022-00204,Education,Education Department,Low,Wayanad,1,2024-02-03,5,5,76,111,1,15,26,1,1,Closed,66
KL2022-00205,Public Works,PWD,Medium,Kozhikode,1,2022-09-08,3,14,50,731,0,10,13,1,1,Closed,53
KL2022-00206,Social Security,Social Welfare,Low,Kasaragod,1,2022-04-16,5,10,44,410,0,15,18,1,0,Resolved,41
KL2022-00207,Sanitation,Municipality,Low,Pathanamthitta,0,2024-09-14,5,8,18,408,0,15,13,0,0,Resolved,27
KL2022-00208,Public Works,PWD,Low,Kollam,0,2023-07-25,1,19,33,489,0,15,15,0,0,Resolved,40
KL2022-00209,Housing,Housing Board,Low,Malappuram,1,2023-07-02,6,1,28,329,0,15,27,1,1,Closed,57
KL2022-00210,Revenue,Revenue Department,Medium,Idukki,0,2023-12-20,2,1,28,196,0,10,15,1,1,Closed,50
KL2022-00211,Social Security,Social Welfare,Low,Kollam,0,2022-10-18,1,1,16,593,1,15,16,1,0,Resolved,52
KL2022-00212,Social Security,Social Welfare,High,Thrissur,0,2023-11-30,3,6,52,369,1,5,12,1,1,Closed,62
KL2022-00213,Education,Education Department,Low,Thiruvananthapuram,1,2022-11-15,1,6,11,740,0,15,15,0,0,Resolved,30
KL2022-00214,Education,Education Department,Medium,Kottayam,0,2024-06-26,2,14,67,671,0,10,8,0,0,Resolved,41
KL2022-00215,Water Supply,Kerala Water Authority,Low,Ernakulam,1,2023-07-14,4,7,70,166,1,15,22,1,0,Resolved,58
KL2022-00216,Education,Education Department,High,Kottayam,0,2024-09-23,0,17,44,96,0,5,4,0,0,Resolved,32
KL2022-00217,Sanitation,Municipality,Low,Ernakulam,1,2022-04-23,5,1,31,358,0,15,16,1,1,Closed,40
KL2022-00218,Healthcare,Health Department,High,Kannur,1,2023-06-08,3,10,46,172,1,5,5,0,0,Resolved,46
KL2022-00219,Housing,Housing Board,Low,Thrissur,0,2024-05-31,4,6,21,439,0,15,18,1,1,Closed,48
KL2022-00220,Sanitation,Municipality,Medium,Palakkad,1,2023-12-27,2,3,55,93,0,10,14,1,1,Closed,47
KL2022-00221,Water Supply,Kerala Water Authority,Low,Kollam,0,2023-10-04,2,19,59,637,0,15,14,0,0,Resolved,28
